!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Tue Mar 03 03:14:12 2026

BEGIN CH1_DATA
Frequency(Hz), Cs(F)-data, Rs(Ohm)-data
+2.00000000000e+001, +2.34174276433e-009, +4.36718284549e+006
+4.00000000000e+001, +1.96976335337e-008, +1.72909073073e+004
+6.00000000000e+001, +1.59260817425e-008, -1.97268385189e+004
+8.00000000000e+001, +1.91044718662e-008, +4.91151326743e+005
+1.00000000000e+002, -4.03637794151e-008, +1.78842838315e+005
+1.20000000000e+002, -1.16152454122e-008, +2.57319353130e+005
+1.40000000000e+002, -7.53422497384e-009, +5.07673237780e+005
+1.60000000000e+002, -7.52877018839e-009, +9.16377075464e+005
+1.80000000000e+002, -4.57391923511e-009, +1.14522530805e+006
+2.00000000000e+002, -3.82308012100e-010, +6.59981929094e+005
+2.20000000000e+002, -6.82895861653e-010, +7.68069255654e+005
+2.40000000000e+002, -2.73403926350e-009, +1.35015352898e+006
+2.60000000000e+002, -4.04489759820e-010, +1.55313486155e+006
+2.80000000000e+002, -1.78917201485e-010, +9.11792814505e+005
+3.00000000000e+002, -1.20202818610e-009, +6.17362184330e+005
+3.20000000000e+002, +6.86435749406e-010, +1.13850974155e+006
+3.40000000000e+002, +5.77715132986e-010, +1.62163602731e+006
+3.60000000000e+002, +1.79799457196e-009, +1.43672879631e+006
+3.80000000000e+002, +4.82293053046e-010, +1.45680402878e+006
+4.00000000000e+002, -2.99293255728e-010, +1.05801736720e+006
+4.20000000000e+002, +4.91730942275e-009, +7.39991602215e+005
+4.40000000000e+002, +1.10078479565e-009, +1.10862195912e+006
+4.60000000000e+002, +6.80301793314e-010, +1.41140352312e+006
+4.80000000000e+002, -9.05199400731e-010, +5.58129916142e+005
+5.00000000000e+002, +1.74731272366e-008, +5.99698141687e+005
END
