!Agilent Technologies,E4990A,MY54202069,A.02.20
!Date: Thu Mar 05 03:53:29 2026

BEGIN CH1_DATA
Frequency(Hz), Cp(F)-data, Rp(Ohm)-data
+2.00000000000e+003, +2.57975983480e-012, -1.22513592271e+008
+1.20808080808e+004, +2.46871379376e-012, +2.50232865942e+008
+2.21616161616e+004, +2.81066174922e-012, -1.95080899596e+008
+3.22424242424e+004, +2.42460415898e-012, +2.26204110088e+008
+4.23232323232e+004, +2.41070063065e-012, +1.07830519317e+008
+5.24040404040e+004, +2.36186017624e-012, +5.43942379454e+007
+6.24848484848e+004, +2.31953739204e-012, +1.91164712772e+008
+7.25656565657e+004, +2.41672274161e-012, +7.70335973936e+007
+8.26464646465e+004, +2.38125237964e-012, +4.21842989331e+007
+9.27272727273e+004, +2.34153986540e-012, +4.67097568011e+007
+1.02808080808e+005, +2.35825670467e-012, +3.68429602958e+007
+1.12888888889e+005, +2.36189778208e-012, +3.22171628593e+007
+1.22969696970e+005, +2.40642180315e-012, +3.61984594867e+007
+1.33050505051e+005, +2.40484312245e-012, +3.57393681730e+007
+1.43131313131e+005, +2.40481824684e-012, +2.93040813868e+007
+1.53212121212e+005, +2.40286153404e-012, +2.56151337673e+007
+1.63292929293e+005, +2.40069249043e-012, +2.41679900094e+007
+1.73373737374e+005, +2.39476122560e-012, +2.03654836063e+007
+1.83454545455e+005, +2.39939876440e-012, +2.02231740407e+007
+1.93535353535e+005, +2.39624168203e-012, +1.94598072817e+007
+2.03616161616e+005, +2.39461827561e-012, +1.78626294670e+007
+2.13696969697e+005, +2.39365088763e-012, +1.67573444486e+007
+2.23777777778e+005, +2.31979812867e-012, +1.58585914190e+007
+2.33858585859e+005, +2.31762032318e-012, +1.50553758494e+007
+2.43939393939e+005, +2.38308343038e-012, +1.40307132993e+007
+2.54020202020e+005, +2.38902015816e-012, +1.34558059387e+007
+2.64101010101e+005, +2.38635906563e-012, +1.21362834325e+007
+2.74181818182e+005, +2.38702962630e-012, +1.23227194315e+007
+2.84262626263e+005, +2.38596053907e-012, +1.17789902933e+007
+2.94343434343e+005, +2.38550293382e-012, +1.12760082733e+007
+3.04424242424e+005, +2.38451099371e-012, +1.07900646437e+007
+3.14505050505e+005, +2.32733496571e-012, +6.29352679066e+006
+3.24585858586e+005, +2.31618211514e-012, +7.74382606429e+006
+3.34666666667e+005, +2.30857440523e-012, +9.35207676777e+006
+3.44747474747e+005, +2.30790068941e-012, +9.14238688439e+006
+3.54828282828e+005, +2.32121658183e-012, +7.02708951458e+006
+3.64909090909e+005, +2.33072177334e-012, +4.86321519965e+006
+3.74989898990e+005, +2.33346776371e-012, +4.71376927180e+006
+3.85070707071e+005, +2.33585867635e-012, +4.59973177750e+006
+3.95151515152e+005, +2.33703265542e-012, +4.48619021167e+006
+4.05232323232e+005, +2.34106988774e-012, +4.38304273883e+006
+4.15313131313e+005, +2.30362406060e-012, +7.22286955440e+006
+4.25393939394e+005, +2.34131988041e-012, +4.19901424474e+006
+4.35474747475e+005, +2.35003039258e-012, +4.15429994304e+006
+4.45555555556e+005, +2.35174503056e-012, +4.11575143167e+006
+4.55636363636e+005, +2.33850522393e-012, +3.76997129737e+006
+4.65717171717e+005, +2.34745979134e-012, +3.80759905363e+006
+4.75797979798e+005, +2.34165463476e-012, +3.61862888756e+006
+4.85878787879e+005, +2.34963717743e-012, +3.74973970163e+006
+4.95959595960e+005, +2.33718914981e-012, +3.44436390747e+006
+5.06040404040e+005, +2.34425959526e-012, +3.49047751138e+006
+5.16121212121e+005, +2.33094502934e-012, +3.28778064208e+006
+5.26202020202e+005, +2.32789645357e-012, +3.24288328201e+006
